root_cnpj,cnpj_est,name,date_start,situation,situationDate,state,porte,activity
03683888,03683888000100,CONDOMINIO PRIVE MORADA SUL - ETAPA C,2000-03-10,Nula,2000-08-25,DF,DEMAIS,Condomínios prediais
03684480,03684480000145,HR FITNESS & SPA LTDA,2000-03-10,Nula,2000-03-10,MG,DEMAIS,Atividades de estética e outros serviços de cuidados com a beleza
03684650,03684650000191,DIRETORIO PARTIDO PROGRESSISTA BRASILEIRO,2000-02-24,Nula,2000-02-24,BA,DEMAIS,Atividades de organizações políticas
03685019,03685019000107,MG MONTUANELLO,2000-03-13,Nula,2000-03-13,CE,DEMAIS,Comércio varejista especializado de equipamentos e suprimentos de informática
03687539,03687539000159,RONALDO GONCALVES TORRES,2000-02-24,Nula,2000-02-24,MG,DEMAIS,Comércio varejista de jornais e revistas
03687795,03687795000146,NATALINO IZIDORO DOS PASSOS,1981-12-29,Nula,1981-12-29,MT,MICRO EMPRESA,Educação profissional de nível técnico
03688741,03688741000103,SECRETARIA DE ESTADO DOS NEGOCIOS DA SEGURANCA PUBLICA,2000-03-10,Nula,2000-12-07,SP,DEMAIS,Segurança e ordem pública
03689992,03689992000102,DENISE MARIA MORO,2000-02-24,Nula,2000-02-24,SC,DEMAIS,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente
03690003,03690003000192,REINALDO MAURICIO SODRE,1996-11-19,Nula,1996-11-19,SP,DEMAIS,"Lanchonetes, casas de chá, de sucos e similares"
03690289,03690289000106,A. C. ALEXANDRE DE OLIVEIRA,2000-02-29,Nula,2000-02-29,RN,DEMAIS,Comércio varejista especializado de equipamentos e suprimentos de informática
03691273,03691273000118,D. HESPANHOL PANIFICADORA,2000-02-16,Nula,2000-02-16,RJ,MICRO EMPRESA,Padaria e confeitaria com predominância de revenda
03692776,03692776000108,MARIA GLORIA SOARES CPF 577203396-49,2000-02-25,Nula,2000-02-25,MG,DEMAIS,Comércio varejista de material elétrico
03693781,03693781000135,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO DE MERIDIANO,2000-03-03,Nula,2000-03-03,SP,DEMAIS,Atividades de organizações políticas
03695187,03695187000183,CHAOS ARTIGOS DO LAR LTDA,2000-01-12,Nula,2000-01-12,PE,DEMAIS,"Comercio varejista de artigos de cama, mesa e banho"
03695626,03695626000158,CONSTRUTORA NASCIMENTO E AMARAL LTDA,2000-03-14,Nula,2000-03-14,PE,DEMAIS,Outras obras de engenharia civil não especificadas anteriormente
03695660,03695660000122,CONDOMINIO DO EDIFICIO BOULEVARD,2000-03-16,Nula,2000-03-16,RJ,DEMAIS,Condomínios prediais
03695711,03695711000116,JULIO BARBOSA DOS SANTOS,2000-03-16,Nula,2000-03-16,MG,DEMAIS,Comercio varejista de artigos de armarinho
